dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132779,SRR3440654;SRR3440655,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440654_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440655_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440654_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440655_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,21.729,blood,M,control,10.922042000000001
GSE80672,GSM2132780,SRR3440656,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440656_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440656_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,21.729,blood,M,control,10.358602
GSE80672,GSM2132781,SRR3440657,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440657_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440657_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,21.729,blood,M,control,8.443084
GSE80672,GSM2132766,SRR3440640;SRR3440641,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440640_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440641_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440640_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440641_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,14.630479
GSE80672,GSM2132767,SRR3440642,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440642_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440642_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,9.84285
GSE80672,GSM2132768,SRR3440643,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440643_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440643_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,12.305343
GSE80672,GSM2132769,SRR3440644,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440644_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440644_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,8.984833
GSE80672,GSM2132770,SRR3440645,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440645_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440645_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,F,control,4.069598
GSE80672,GSM2132771,SRR3440646,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440646_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440646_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,9.211798
GSE80672,GSM2132772,SRR3440647,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440647_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440647_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,26.074,blood,M,control,10.732635
