dataset,run_accession,sample_id,library_layout,fastq_count,mates_present,missing_mate,pairing_status,total_size_bytes,total_size_gib,local_paths
GSE120137,SRR7871736,GSM3394418,SINGLE,1,,,single_or_unknown,2387901250,2.223906,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871736.fastq
GSE120137,SRR7871737,GSM3394419,SINGLE,1,,,single_or_unknown,3344850650,3.115135,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871737.fastq
GSE120137,SRR7871738,GSM3394420,SINGLE,1,,,single_or_unknown,3862564352,3.597293,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871738.fastq
GSE120137,SRR7871739,GSM3394421,SINGLE,1,,,single_or_unknown,3866091644,3.600578,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871739.fastq
GSE120137,SRR7871740,GSM3394422,SINGLE,1,,,single_or_unknown,3566476552,3.32154,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871740.fastq
GSE120137,SRR7871741,GSM3394423,SINGLE,1,,,single_or_unknown,4418701950,4.115237,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871741.fastq
GSE120137,SRR7871742,GSM3394424,SINGLE,1,,,single_or_unknown,3312340352,3.084857,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871742.fastq
GSE120137,SRR7871743,GSM3394425,SINGLE,1,,,single_or_unknown,3351522010,3.121348,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871743.fastq
GSE120137,SRR7871744,GSM3394426,SINGLE,1,,,single_or_unknown,3619598540,3.371014,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871744.fastq
GSE120137,SRR7871745,GSM3394427,SINGLE,1,,,single_or_unknown,2549176862,2.374106,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871745.fastq
GSE120137,SRR7871746,GSM3394428,SINGLE,1,,,single_or_unknown,4090607588,3.809675,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871746.fastq
GSE120137,SRR7871747,GSM3394429,SINGLE,1,,,single_or_unknown,4006378178,3.73123,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871747.fastq
