archive_or_file,available,content_type,dataset,filelist_error,filelist_size_bytes,filelist_time,filelist_type,head_error,http_status,remote_last_modified,remote_size_bytes,supplement_name,supplement_url
File,,,GSE213628,,17689944,09/19/2022 11:52:44,COV,,,,,GSM6590421_OU_gfp_pos_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590421_OU_gfp_pos_24B.cov.gz
File,,,GSE213628,,26020008,09/19/2022 11:52:52,COV,,,,,GSM6590422_OU_gfp_pos_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590422_OU_gfp_pos_34B.cov.gz
File,,,GSE213628,,17459676,09/19/2022 11:52:57,COV,,,,,GSM6590423_OC_gfp_neg_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590423_OC_gfp_neg_24B.cov.gz
File,,,GSE213628,,31277308,09/19/2022 11:53:07,COV,,,,,GSM6590424_OC_gfp_neg_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590424_OC_gfp_neg_34B.cov.gz
File,,,GSE213628,,9261188,09/19/2022 11:53:10,COV,,,,,GSM6590425_OC_gfp_pos_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590425_OC_gfp_pos_24B.cov.gz
File,,,GSE213628,,27843088,09/19/2022 11:53:18,COV,,,,,GSM6590426_OC_gfp_pos_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590426_OC_gfp_pos_34B.cov.gz
File,,,GSE213628,,13712668,09/19/2022 11:53:22,COV,,,,,GSM6590427_BLD_Y1.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590427_BLD_Y1.bismark.cov.gz
File,,,GSE213628,,14904856,09/19/2022 11:53:27,COV,,,,,GSM6590428_BLD_Y2.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590428_BLD_Y2.bismark.cov.gz
File,,,GSE213628,,75417756,09/19/2022 11:53:49,COV,,,,,GSM6590429_BLD_Y3.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590429_BLD_Y3.bismark.cov.gz
File,,,GSE213628,,9513280,09/19/2022 11:53:52,COV,,,,,GSM6590430_BLD_M1.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590430_BLD_M1.bismark.cov.gz
File,,,GSE213628,,10225422,09/19/2022 11:53:55,COV,,,,,GSM6590431_BLD_M2.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590431_BLD_M2.bismark.cov.gz
File,,,GSE213628,,28524911,09/19/2022 11:54:07,COV,,,,,GSM6590432_BLD_M3.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590432_BLD_M3.bismark.cov.gz
